college_img,college_name,college_course,college_loc,college_fees,AllIndia,Open,Minority
"https://images.static-collegedunia.com/public/college_data/images/appImage/1536219933IGICover.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Yashoda Technical Campus - [YTC], Satara",B.Pharm ,"Satara, Maharashtra","86,000",51.41,93.93,0
"https://images.static-collegedunia.com/public/college_data/images/appImage/1591354337Amravati01.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Anjuman-I-Islam's Kalsekar Technical Campus - [AIKTC], Navi Mumbai",B.Pharm ,"Mumbai, Maharashtra","98,500",71.13,90.66,86.91
"https://images.static-collegedunia.com/public/college_data/images/appImage/1487586236cover.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Shri Balasaheb Mane Shikshan Prasarak Mandal - [SBMSPM], Kolhapur",B.Pharm ,"Kolhapur, Maharashtra","88,000",65.78,90.96,0
"https://images.static-collegedunia.com/public/college_data/images/appImage/28644_BSMPM_APP.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Abhinav Education Society's College of Pharmacy, Pune",B.Pharm ,"Pune, Maharashtra","99,000",83.54,95.2,0
"https://images.static-collegedunia.com/public/college_data/images/appImage/9219_agnihotri_new.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Alard College of Pharmacy - [ACP], Pune",B.Pharm ,"Pune, Maharashtra","95,500",71.64,89.27,14.26
"https://images.static-collegedunia.com/public/college_data/images/appImage/9231_ACP_New.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Amrutvahini College of Pharmacy Sangamner, Ahmed Nagar",B.Pharm ,"Nagar, Maharashtra","1,20,000",69.58,98.01,0
"https://images.static-collegedunia.com/public/college_data/images/appImage/9402_DVPPC_APP.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Gahlot Institute of Pharmacy, Navi Mumbai",B.Pharm ,"Mumbai, Maharashtra","98,000",75.92,95.38,0
"https://images.static-collegedunia.com/public/college_data/images/appImage/9594_KNCP_New.png?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Kasturi Shikshan Sanstha College of  Pharmacy Shikrapur, Pune",B.Pharm ,"Pune, Maharashtra","83,500",59.01,86.22,0
"https://images.static-collegedunia.com/public/college_data/images/appImage/9601_KSSCP_APP.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Late Narayandas Bhawandas Chhabada Institute of Pharmacy - [LNBCIOP], Satara",B.Pharm ,"Satara, Maharashtra","83,500",61.21,91.49,0
"https://images.static-collegedunia.com/public/college_data/images/appImage/16031854001.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Mahatma Gandhi Vidyamandir's Pharmacy College Panchavati, Nashik",B.Pharm ,"Nashik, Maharashtra","1,25,000",78.89,96.82,0
"https://images.static-collegedunia.com/public/college_data/images/appImage/9643_MGCP_APP.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Mula Education Society's College of Pharmacy, Ahmed Nagar",B.Pharm ,"Nagar, Maharashtra","1,15,000",61.93,91.49,0
"https://images.static-collegedunia.com/public/college_data/images/appImage/9718_NANDANPCOL_APP.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Oriental College of Pharmacy - [OCP], Navi Mumbai",B.Pharm ,"Mumbai, Maharashtra","5,34,000",83.64,96.28,81.92
"https://images.static-collegedunia.com/public/college_data/images/appImage/9908_SPHCP_APP.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Sanjivani College of Pharmaceutical Education & Research Kopargaon, Ahmed Nagar",B.Pharm ,"Nagar, Maharashtra","6,56,000",66.58,94.75,0
"https://images.static-collegedunia.com/public/college_data/images/appImage/1604323494839457461154648600022406587843451054718976o.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Sant Gajanan Maharaj College of Pharmacy - [SGMCP], Kolhapur",B.Pharm ,"Kolhapur, Maharashtra","87,000",54.98,91.7,0
"https://images.static-collegedunia.com/public/college_data/images/appImage/9941_SGRSCP_New.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Shivlingeshwar College of Pharmacy - [SCOP], Latur",B.Pharm ,"Latur, Maharashtra","82,000",78.24,96.34,0
"https://images.static-collegedunia.com/public/college_data/images/appImage/9966_SCOPML_APP.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Shree Sainath College of Pharmacy - [SSCP], Nagpur",B.Pharm ,"Nagpur, Maharashtra","69,000",56.73,88.84,0
"https://images.static-collegedunia.com/public/college_data/images/appImage/1628768198Screenshot76.png?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Sinhgad Institute of Pharmacy - [SIOP] Narhe, Pune",B.Pharm ,"Pune, Maharashtra","1,25,500",79.88,96,0
"https://images.static-collegedunia.com/public/college_data/images/appImage/10097_SNIP_NEW.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Tatyasaheb Kore College of Pharmacy, Kolhapur",B.Pharm ,"Kolhapur, Maharashtra","1,04,000",66.58,94.3,0
"https://images.static-collegedunia.com/public/college_data/images/appImage/10171_VBCOP_NEW.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Yash Institute of Pharmacy, Aurangabad",B.Pharm ,"Aurangabad, Maharashtra","1,03,000",72.46,94.11,0
"https://images.static-collegedunia.com/public/college_data/images/appImage/25701_GU_NEW.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Swami Ramanand Teerth Marathwada University - [SRTMUN], Nanded",B.Pharm ,"Nanded, Maharashtra","30,097",49.47,87.77,0
