college img,college name,college loc,college course,college fees,Open,AllIndia,Minority
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/23640/2020/7/28/campus,"Bajaj Institute of Technology, Wardha","Wardha, Maharashtra  FeesCutoff",BE Computer Engineering,380 000,80.49,79.6,12.25
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4919/2019/3/4/Campus,"Atharva College of Engineering, Malad","Mumbai, Maharashtra",BE Computer Engineering,535 296,93.73,88.72,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/1990/2018/10/30/Campus,"Mahatma Gandhi Mission's College of Engineering and Technology, Navi Mumbai","Navi Mumbai, Maharashtra",BE Computer Engineering,273 792,92.95,89.26,2.11
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3480/2018/10/11/Campus,"Modern Education Society's College of Engineering, Pune","Pune, Maharashtra",BE Computer Engineering,480 000,92.95,88.15,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3797/2018/8/1/Marathwada-Mitra-Mandals-College-of-Engineering-Pune-campus-view1.PNG,"Marathwada Mitra Mandal's College of Engineering, Pune","Pune, Maharashtra",BE Computer Engineering,394 000,93.65,87.76,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/8102/2020/11/24/Campus-View,"MET Bhujbal Knowledge City, Nashik","Nashik, Maharashtra  FeesCutoff",B.Tech Computer Engineering,298 560,84.27,73.05,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/2678/2019/3/26/College,"Vidya Pratishthan's Kamalnayan Bajaj Institute of Engineering and Technology, Pune","Baramati, MaharashtraCourses &amp;",BE Computer Engineering,252 264,87.63,80.96,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3339/2018/10/26/Campus,"SKN Sinhgad College of Engineering, Korti","Pandharpur, MaharashtraCourses &amp;",B.Tech Computer Science and Engineering,319 002,13.25,49.95,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3366/2020/8/26/College,"Rizvi College of Engineering, Bandra","Mumbai, Maharashtra  FeesCutoff",BE Computer Engineering,,90.93,90.71,64.84
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3923/2019/3/25/College,"Lokmanya Tilak College of Engineering, Navi Mumbai","Navi Mumbai, Maharashtra",BE Computer Engineering,,86.49,85.28,18.85
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3172/2018/10/12/College,"Shivajirao S Jondhale College of Engineering, Thane","Dombivli, Maharashtra",BE Computer Engineering,344 400,44.71,69.34,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3257/2018/11/2/College,"Saraswati College of Engineering, Navi Mumbai","Navi Mumbai, Maharashtra",BE Artificial Intelligence and Machine Learning,,82.43,78.22,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3661/2019/4/2/Campus,"Navsahyadri Group of Institutes, Pune","Pune, MaharashtraCourses &amp;",BE Computer Engineering,220 000,22.45,34.31,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/2590/2019/3/13/Campus,"Xavier Institute of Engineering, Mumbai","Mumbai, Maharashtra",BE Computer Engineering,482 395,94.77,96.36,7.23
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3503/2018/8/16/Pravara-Rural-Engineering-College-Loni-CV1.jpg,"Pravara Rural Engineering College, Loni","Chandrapur, Maharashtra",BE Computer Engineering,431 684,87.64,74.42,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3781/2020/11/28/Campus,"Matoshri Pratishthans Group of Institutions, Nanded","Khupsarwadi, Maharashtra",B.Tech Computer Science and Engineering,160 000,60.69,52.43,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/8786/2019/2/18/Campus,"Universal College of Engineering, Thane","Poman, Maharashtra",BE Computer Engineering,,36.5,76.63,4.16
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/8787/2018/11/13/Campus-View,"New Horizon Institute of Technology and Management, Thane","Thane, Maharashtra",BE Computer Engineering,348 000,73.31,75.47,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4992/2018/10/9/Campus,"Anjuman College of Engineering and Technology, Nagpur","Nagpur, Maharashtra",BE Computer Science and Engineering,,92.93,90.17,86.27
