college_img,college_name,college_fees,college_loc,college_course,college_rating,CutOff
"https://images.static-collegedunia.com/public/college_data/images/appImage/10698_acdemic.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Maharashtra Institute of Medical Education and Research - [MIMER], Pune","9,56,025","Pune, Maharashtra",MBBS ,8.1,80155
"https://images.static-collegedunia.com/public/college_data/images/appImage/11024_SKNMCGH_NEW.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Smt Kashibai Navale Medical College and General Hospital - [SKNMCGH], Pune","13,40,000","Pune, Maharashtra",MBBS ,7.2,50053
"https://images.static-collegedunia.com/public/college_data/images/appImage/10823_PADMASHREE_NEW.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Dr. Vithalrao Vikhe Patil Foundation's Medical College - [VIMS], Ahmed Nagar","8,15,000","Nagar, Maharashtra",MBBS ,8.3,120455
"https://images.static-collegedunia.com/public/college_data/images/appImage/1595829786EgnColgPic.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Bharati Vidyapeeth Deemed University - [BVDU], Pune","19,07,325","Pune, Maharashtra",MBBS ,7.8,180090
"https://images.static-collegedunia.com/public/college_data/images/appImage/25708_app image1.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Krishna Institute of Medical Sciences University - [KIMS], Satara","21,00,000","Satara, Maharashtra",MBBS ,8.1,350455
"https://images.static-collegedunia.com/public/college_data/images/appImage/28314_Front.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Indira Gandhi Government Medical College & Hospital - [IGGMCH], Nagpur",,"Nagpur, Maharashtra",MBBS ,8,5450
"https://images.static-collegedunia.com/public/college_data/images/appImage/10754_NKP_APP.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","NKP SALVE INSTITUTE OF MEDICAL SCIENCES & RC & LATA MANGESHKAR HOSPITAL, Nagpur","9,98,000","Nagpur, Maharashtra",MBBS ,5.9,98099
"https://images.static-collegedunia.com/public/college_data/images/appImage/25690_1447070047DYPEC_NEW.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","DY Patil Education Society - [DYPES], Kolhapur","20,60,000","Kolhapur, Maharashtra",MBBS ,8.6,134030
"https://images.static-collegedunia.com/public/college_data/images/appImage/7677_MEERMM_APP.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Maharashtra Institute of Medical Sciences and Research - [MIMSR], Latur","7,60,000","Latur, Maharashtra",MBBS ,7.8,467056
"https://images.static-collegedunia.com/public/college_data/images/appImage/10205_dfrghh.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","ACPM Medical College, Dhule","6,97,000","Dhule, Maharashtra",MBBS ,8.5,245020
"https://images.static-collegedunia.com/public/college_data/images/appImage/10310_BVPMSANGLI_APP.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Bharati Vidyapeeth Deemed University Medical College and Hospital, Sangli","19,98,150","Sangli, Maharashtra",MBBS ,8.6,384097
"https://images.static-collegedunia.com/public/college_data/images/appImage/10311_b 1.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Bharati Vidyapeeth Medical College - [BVMC], Pune","21,28,665","Pune, Maharashtra",MBBS ,8.7,160234
