college_img,college_name,college_loc,college_course,college_fees,Open,AllIndia,Minority
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/5005/2018/10/29/Campus,"Amrutvahini College of Engineering, Ahmednagar","Sangamner, Maharashtra",BE Mechanical Engineering,416 000,83.09,63.34,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/2667/2019/3/8/Campus,"Vidyavardhini's College of Engineering and Technology, Vasai","Vasai, Maharashtra",BE Mechanical Engineering,,90.59,77.72,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4574/2018/10/11/campus,"Dhole Patil College of Engineering, Pune","Pune, Maharashtra",BE Mechanical Engineering,432 884,11.68,6.31,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/23640/2020/7/28/campus,"Bajaj Institute of Technology, Wardha","Wardha, Maharashtra  FeesCutoff",BE Mechanical Engineering,380 000,36.26,67.96,22.94
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/5100/2019/3/15/Campus,"Abhinav Education Society's College of Engineering and Technology, Wadwadi","Satara, MaharashtraCourses &amp;",BE Mechanical Engineering,,0,0,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/1990/2018/10/30/Campus,"Mahatma Gandhi Mission's College of Engineering and Technology, Navi Mumbai","Navi Mumbai, Maharashtra",BE Mechanical Engineering,273 792,55.55,53.92,1.01
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3480/2018/10/11/Campus,"Modern Education Society's College of Engineering, Pune","Pune, Maharashtra",BE Mechanical Engineering,480 000,65.53,65.21,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4489/2018/10/15/campus,"Everest College of Engineering and Technology, Aurangabad","Aurangabad, Maharashtra",BE Mechanical Engineering,170 000,27.55,0,40.17
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3797/2018/8/1/Marathwada-Mitra-Mandals-College-of-Engineering-Pune-campus-view1.PNG,"Marathwada Mitra Mandal's College of Engineering, Pune","Pune, Maharashtra",BE Mechanical Engineering,394 000,80.45,66.79,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/1960/2019/3/14/Campus,"Sipna College of Engineering and Technology, Amravati","Amravati, Maharashtra",BE Mechanical Engineering,,32.74,50.34,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/5322/2019/1/11/College,"Maharashtra Institute of Technology, Aurangabad","Aurangabad, Maharashtra",B.Tech Mechanical Engineering,,62.17,0,0
