college_img,college_name,college_loc,college_course,college_fees,Open,AllIndia,Minority
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3485/2019/3/23/College,"Prof Ram Meghe College of Engineering and Management, Badnera","Badnera, Maharashtra",BE Civil Engineering,3 94 000,56.74,7.23,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3257/2018/11/2/College,"Saraswati College of Engineering, Navi Mumbai","Navi Mumbai, Maharashtra",BE Civil Engineering,,13.08,0,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3661/2019/4/2/Campus,"Navsahyadri Group of Institutes, Pune","Pune, MaharashtraCourses &amp;",BE Civil Engineering,220 000,3.87,47,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4484/2018/9/7/College,"Fabtech Technical Campus, Solapur","Solapur, MaharashtraCourses &amp;",B.Tech Civil Engineering,289 580,21.83,0.53,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3503/2018/8/16/Pravara-Rural-Engineering-College-Loni-CV1.jpg,"Pravara Rural Engineering College, Loni","Chandrapur, Maharashtra",BE Civil Engineering,431 684,67.35,53.32,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3781/2020/11/28/Campus,"Matoshri Pratishthans Group of Institutions, Nanded","Khupsarwadi, Maharashtra",B.Tech Civil Engineering,160 000,62.75,12.18,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/8786/2019/2/18/Campus,"Universal College of Engineering, Thane","Poman, Maharashtra",BE Civil Engineering,,6.47,25.72,70.72
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/8787/2018/11/13/Campus-View,"New Horizon Institute of Technology and Management, Thane","Thane, Maharashtra",BE Civil Engineering,348 000,17.52,9.73,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4992/2018/10/9/Campus,"Anjuman College of Engineering and Technology, Nagpur","Nagpur, Maharashtra",BE Civil Engineering,,25.28,80.95,0.18
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/5071/2018/10/16/Campus,"Aditya Engineering College, Beed","Beed, MaharashtraCourses &amp;",BE Civil Engineering,,6.84,12.45,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4809/2018/10/31/Campus,"Bharat Ratna Indira Gandhi College of Engineering, Solapur","Kegaon, MaharashtraCourses &amp;",B.Tech Civil Engineering,261 840,0,50,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3187/2018/10/13/College,"Sharad Institute of Technology, College of Engineering, Yadrav","Ichalkaranji, Maharashtra",B.Tech Civil Engineering,,7.92,8.46,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3559/2018/9/18/Campus,"Rajiv Gandhi College of Engineering, Research and Technology, Chandrapur","Chandrapur, Maharashtra",B.Tech Civil Engineering,,2.81,14.45,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4134/2018/9/25/Parking,"Jawaharlal Darda Institute of Engineering and Technology, Yavatmal","Yavatmal, Maharashtra",BE Civil Engineering,,58.07,24.48,5.15
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/2015/2018/8/20/Dnyanshree-Institute-of-Engineering-and-Technology-Satara2.png,"Dnyanshree Institute of Engineering and Technology, Satara","Gajawadi, Maharashtra",BE Civil Engineering,61 000,1.52,74.06,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4658/2018/9/12/Campus,"College of Engineering and Technology, Akola","Babhulgaon, MaharashtraCourses &amp;",BE Civil Engineering,,99.37,0,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4161/2018/10/24/Campus,"Jagadambha College of Engineering and Technology, Yavatmal","Yavatmal, MaharashtraCourses &amp;",BE Civil Engineering,363 631,64.08,1.99,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/5034/2020/8/7/Campus,"Alard College of Engineering and Management, Pune","Pune, Maharashtra",BE Civil Engineering,,7.74,0,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3572/2020/9/7/Campus-View,"Padmashri Dr VB Kolte College of Engineering, Malkapur","Malkapur, Maharashtra",BE Civil Engineering,228 000,77.34,24.19,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3055/2019/3/22/College,"Indira College of Engineering and Management, Pune","Pune, Maharashtra",BE Civil Engineering,440 000,17,28.62,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3796/2019/2/28/College,"Marathwada Mitra Mandal's Institute of Technology, Pune","Shinde Wasti, Maharashtra",BE Civil Engineering,360 000,13.67,12.26,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4151/2020/8/18/College,"Jaihind College of Engineering, Pune","Pune, Maharashtra",BE Civil Engineering,,2.42,42,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4910/2019/3/4/Medical,"Aurangabad College of Engineering, Aurangabad","Aurangabad, Maharashtra",BE Civil Engineering,144 000,72.13,83.16,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3775/2019/2/28/Consumer,"Mauli Group of Institutions, College of Engineering and Technology, Shegaon","Sawarna, MaharashtraCourses &amp;",BE Civil Engineering,,59.68,22.97,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4573/2018/11/1/College,"Dilkap Research Institute of Engineering and Management Studies, Raigad","Neral, Maharashtra",BE Civil Engineering,298 500,2.85,10.75,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4142/2019/4/4/Jamia,"Jamia Institute of Engineering and Management Studies, Nandurbar","Mandaviamba, MaharashtraCourses &amp;",BE Civil Engineering,,14.76,0,5.43
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/7124/2019/3/18/Campus,"Guru Gobind Singh College of Engineering and Research Centre, Nashik","Nashik, Maharashtra",BE Civil Engineering,229 240,20.56,19.55,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3270/2020/8/25/Campus,"Sanmati Engineering College, Washim","Washim, MaharashtraCourses &amp;",BE Civil Engineering,342 000,64.63,30.49,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4415/2020/8/19/Campus,"Genba Sopanrao Moze College of Engineering, Balewadi","Pune, Maharashtra",B.Tech Civil Engineering,280 000,82.88,31,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4608/2018/10/30/Reading,"Dattakala Group of Institution, Pune","Pune, MaharashtraCourses &amp;",BE Civil Engineering,,15.87,11.1,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4042/2020/11/9/Campus-View,"Late GN Sapkal College of Engineering, Nashik","Nashik, Maharashtra",BE Civil Engineering,286 208,0.18,0,0
