pagination,comp_name,comp_role,comp_exp,comp_loc,comp_desc,mskills,cmp_skills
https://www.naukri.com/jobs-in-maharashtra-4831,Atom Technologies,Payment Operations Manager,5-10 Yrs,Mumbai,Job Description Roles and Responsibilities Responsible for monitoring and continuous im...,quality,"Computer,scienceProcess,automationConflict,managementAnalyticalProject,managementConsultingContinuous,improvementService,quality"
https://www.naukri.com/jobs-in-maharashtra-5504,ESS CEE HR SOLUTIONS,"MNC Hiring For "" AM- Operations"" - Thane",2-6 Yrs,Thane,INSURANCE BACKGROUND- MOTOR INSURANCE Experience in BPO Industry & TL on papers Downloa...,team,"team,leader,operationTNPSAHTBPOLeadershipteam,leaderteam,managementBPO,VOICE"
https://www.naukri.com/jobs-in-maharashtra-2523,V P Placement,front office,1-4 Yrs,Pune,"skill - communication skill / office admin work data entry , excel knowledge , counseli...",Office,"Front,Office,ExecutiveExcelComputer,OperatorFront,Desk,ExecutiveOffice,AdminOffice,AssistantData,EntryCommunication,Skill"
https://www.naukri.com/jobs-in-maharashtra-3785,XS CAD Limited,Senior Electrical Design Engineer,9-10 Yrs,Mumbai,"Job Description: This position involves working in the MEP (Mechanical, Electrical, Plu...",Office,"Electrical,designConcept,designArchitectureAutoCADCADBim,PHP,MS,Office"
https://www.naukri.com/jobs-in-maharashtra-5288,hCapital Business Consulting Private Limited,"Opening with NBFC For Secretarial and Compliance role - Powai, Mumbai",3-8 Yrs,Mumbai,"Should be able to independently draft compliance checklists, manuals and other regulato...",and,"Company,SecretarialCompany,Secretarysecretarial,and,complianceInternal,ControlComplianceNBFCBankingLI"
https://www.naukri.com/jobs-in-maharashtra-3179,Hoffmann-La Roche,Manager - Commercial Excellence,4-7 Yrs,Mumbai,"Support the territories, Regions Business leads with required data analytics to improve...",Marketing,"TrainingRoot,cause,analysisSales,planningSalesIndividual,ContributorProduct,Marketing,AnalyticsMonitoring"
https://www.naukri.com/jobs-in-maharashtra-3451,Precise Fasteners Pvt Ltd,Back Office Management,2-7 Yrs,Mumbai,Back Office Management,Office,"Back,Office,Management"
https://www.naukri.com/jobs-in-maharashtra-4161,Stars Cubo Media Entertainment,Sales &  Marketing     Executive,2-3 Yrs,Mumbai,A di GIT  al sales experience (from the entertainment industry would be ideal) for at leas...,Marketing,"Direct,salesExecutive,Sales,&,Marketing,Di,GIT,al,salesNetworkingAnalyticalProgrammingOnline,advertisingManagement"
https://www.naukri.com/jobs-in-maharashtra-2909,Katyayani Petroleum LTD.,Executive  (HR),2-7 Yrs,Pune,Qualifications/ Experience/ Attributes Candidate should be MBA (HR) and have minimum 2 ...,and,"lawIndianHRemploymentadministration,and,organizational,skillspractices"
https://www.naukri.com/jobs-in-maharashtra-3057,Solsynch Technologies Private Limited,SAP Sales Managers / Leaders BD2109,4-6 Yrs,"Mumbai, Pune, Surat","Responsible for demand generation, lead management & opportunity development for SAP se...","Marketing,Marketing","SAPSAP,ecosystemIT,Skillsdemand,generationerp,salessap,Marketing,Software,sales,Software,Marketing"
https://www.naukri.com/jobs-in-maharashtra-3459,S.K. Logistics,Asst. Manager,2-6 Yrs,"Mumbai, Thane",Required Skills and Experience : Suggest sales training programs and techniques Picking...,training,"SupervisorTrainee,SupervisorSales,training"
https://www.naukri.com/jobs-in-maharashtra-4823,Sales Pro Business Solutions Pvt Ltd,Business Development Executive,1-2 Yrs,Mumbai,Graduate with oral and written communication skills Should have experience in handling ...,Lead,"Lead,generationProduct,serviceBusiness,Development,ManagerAnalyticalConsultingOutsourcingB2B,SalesBusiness,solutions"
https://www.naukri.com/jobs-in-maharashtra-5291,Lavya Associates,Branch Training Manager | Life Insurance-Alibag,3-8 Yrs,Alibag,We are having urgent requirement for the position of Branch Training Manager in leading...,training,"training,developmentpartnership,distributionlearning,developmenttrainingtraining,managerlearning,&,development"
https://www.naukri.com/jobs-in-maharashtra-3615,FirstNucleus Internet Technologies,Di GIT  al Content Manager,5-10 Yrs,Mumbai,"S / he should be energetic, hardworking and dedicated to driving results for all of our...","Marketing,di","Social,media,Marketing,di,GIT,al,contentContent,writing"
https://www.naukri.com/jobs-in-maharashtra-4731,EXO InfoTech Pvt. Ltd.,Department: Internet  Marketing    ,3-8 Yrs,Thane,"At Least 3 Years of experience and knowledge of: SEO, Organic Search, Google AdWords , D...",Marketing,"metadataSMOSocial,mediaInternet,Marketing,Google,AdWords,SEM,HTML,SEO"
https://www.naukri.com/jobs-in-maharashtra-5386,U. S. Recruitment Consultants,Manager Talent Acquisition,10-14 Yrs,Mumbai,Role Requisites: You must be a BE/ B Tech in ComputersCandidate should be working at a ...,team,"team,managementTechnical,Hirin,GIT,hiringleadershipmentoringTalent,Acquisition"
https://www.naukri.com/jobs-in-maharashtra-3539,Paper Plane Solutions,Production/Visual Designer,1-4 Yrs,Mumbai,"Supporting the design lead, or senior designer to help deliver client projects like web...",Marketing,"CSS,Front,endWeb,technologiesIllustrator,JavaScript,X,HTML,HTML,E-,Marketing"
https://www.naukri.com/jobs-in-maharashtra-3281,Mirchandanis Career Placements India Pvt Ltd,Compliance Manager,5-6 Yrs,Pune,Legal compliances(SMETA /SCAN/GSV/ICTI)Contractual compliance management local labour l...,L,"Labour,L,AWS,LegalCompliance,ManagementContractsAuditing"
https://www.naukri.com/jobs-in-maharashtra-3241,Accenture,Senior Analyst-Campaign Management,5-8 Yrs,Mumbai,Qualifications: Any Graduation Skill required: Campaign Management - Salesforce Marketi...,"Marketing,Marketing","IT,SkillsCloud,HTML,JavaScript,Di,GIT,al,Marketing,Salesforce,Data,Analysis,Direct,Marketing"
https://www.naukri.com/jobs-in-maharashtra-1489,Accenture,ASP.NET MVC Application Developer,4-6 Yrs,Pune,"Project Role : Application Developer Project Role Description : Design, build and confi...","Microsoft,Microsoft","Microsoft,Azure,DevOpsASP,NET,MVC,jQuery,Microsoft,SQL,ServerWeb,APIKendodevelopmentClient,side,scripting"
https://www.naukri.com/jobs-in-maharashtra-690,Sodexo,Assistant Food & Beverage Manager,7-12 Yrs,Pune,Hotel Management Graduate The candidate should have worked with hospitals (IPD) and a f...,and,"Cost,ManagementCommunication,and,Client,RetentionFood,Operations"
https://www.naukri.com/jobs-in-maharashtra-258,Symtrax  Software   ,L1 Solution Architect,0-2 Yrs,Pune,Technical background preferred,"of,of","VerbalCommunicationWrittenKnowledge,of,Databaseknowledge,of,sqlNetwork,Architecture"
